trial_id,started_at,finished_at,duration,batch_size,head_learning_rate,l2_weight,warmup_proportion,f1
0,2026-02-11T18:03:58,2026-02-11T18:04:58,59,"(8, 8)",0.003,0.01,0.15,0.8527777777777777
1,2026-02-11T18:04:58,2026-02-11T18:06:07,68,"(32, 8)",0.0001,0.2,0.1,0.7809078176725235
2,2026-02-11T18:06:07,2026-02-11T18:07:01,54,"(32, 8)",0.03,0.015,0.1,0.7982965543941154
3,2026-02-11T18:07:01,2026-02-11T18:08:02,60,"(8, 8)",0.003,0.2,0.1,0.9173976608187134
4,2026-02-11T18:08:02,2026-02-11T18:08:54,51,"(32, 16)",0.03,0.015,0.1,0.8058823529411765
5,2026-02-11T18:08:54,2026-02-11T18:09:50,56,"(16, 8)",0.003,0.015,0.15,0.8288770053475936
6,2026-02-11T18:09:50,2026-02-11T18:10:47,56,"(16, 8)",0.01,0.01,0.15,0.7655029491471386
7,2026-02-11T18:10:47,2026-02-11T18:11:38,51,"(32, 16)",0.003,0.01,0.1,0.8414141414141414
8,2026-02-11T18:11:38,2026-02-11T18:12:49,70,"(32, 4)",0.01,0.01,0.15,0.8458333333333333
9,2026-02-11T18:12:49,2026-02-11T18:14:12,82,"(16, 4)",0.0001,0.015,0.1,0.8163194444444444
10,2026-02-11T18:14:12,2026-02-11T18:15:15,63,"(8, 8)",0.003,0.2,0.1,0.9173976608187134
11,2026-02-11T18:15:15,2026-02-11T18:16:17,62,"(8, 8)",0.003,0.2,0.1,0.9173976608187134
12,2026-02-11T18:16:17,2026-02-11T18:17:19,61,"(8, 8)",0.003,0.2,0.1,0.9173976608187134
13,2026-02-11T18:17:19,2026-02-11T18:18:11,52,"(8, 16)",0.003,0.2,0.1,0.8299610815657028
14,2026-02-11T18:18:11,2026-02-11T18:19:02,50,"(16, 16)",0.003,0.2,0.1,0.7637770897832818
