trial_id,started_at,finished_at,duration,batch_size,head_learning_rate,l2_weight,warmup_proportion,f1
0,2026-02-05T11:15:22,2026-02-05T11:17:04,102,"(8, 8)",0.003,0.01,0.15,0.6993273729137107
1,2026-02-05T11:17:04,2026-02-05T11:18:40,95,"(32, 8)",0.0001,0.2,0.1,0.5372635012046777
2,2026-02-05T11:18:40,2026-02-05T11:20:02,81,"(32, 8)",0.03,0.015,0.1,0.6553234695861565
3,2026-02-05T11:20:02,2026-02-05T11:21:32,90,"(8, 8)",0.003,0.2,0.1,0.6355146491379389
4,2026-02-05T11:21:32,2026-02-05T11:22:48,75,"(32, 16)",0.03,0.015,0.1,0.6753234695861563
5,2026-02-05T11:22:48,2026-02-05T11:24:09,80,"(16, 8)",0.003,0.015,0.15,0.6781196332076395
6,2026-02-05T11:24:09,2026-02-05T11:25:32,82,"(16, 8)",0.01,0.01,0.15,0.6840808832744316
7,2026-02-05T11:25:32,2026-02-05T11:26:53,81,"(32, 16)",0.003,0.01,0.1,0.589893376705521
8,2026-02-05T11:26:53,2026-02-05T11:28:41,107,"(32, 4)",0.01,0.01,0.15,0.6897663925785369
9,2026-02-05T11:28:41,2026-02-05T11:30:43,121,"(16, 4)",0.0001,0.015,0.1,0.6779150158561923
10,2026-02-05T11:30:43,2026-02-05T11:32:25,102,"(8, 8)",0.003,0.01,0.15,0.6993273729137107
11,2026-02-05T11:32:25,2026-02-05T11:34:07,102,"(8, 8)",0.003,0.01,0.15,0.6993273729137107
12,2026-02-05T11:34:07,2026-02-05T11:35:50,102,"(8, 8)",0.003,0.01,0.15,0.6993273729137107
13,2026-02-05T11:35:50,2026-02-05T11:37:05,75,"(8, 16)",0.003,0.01,0.15,0.6393561361682804
14,2026-02-05T11:37:05,2026-02-05T11:38:23,77,"(16, 16)",0.003,0.01,0.15,0.6772054232130827
