trial_id,started_at,finished_at,duration,batch_size,head_learning_rate,l2_weight,warmup_proportion,f1
0,2026-02-05T15:00:20,2026-02-05T15:01:29,68,"(8, 8)",0.003,0.01,0.15,0.7700400525400526
1,2026-02-05T15:01:29,2026-02-05T15:02:38,69,"(32, 8)",0.0001,0.2,0.1,0.6889702889702891
2,2026-02-05T15:02:38,2026-02-05T15:03:48,69,"(32, 8)",0.03,0.015,0.1,0.8332949138983622
3,2026-02-05T15:03:48,2026-02-05T15:04:54,65,"(8, 8)",0.003,0.2,0.1,0.7820577159564925
4,2026-02-05T15:04:54,2026-02-05T15:05:51,56,"(32, 16)",0.03,0.015,0.1,0.8151418026418027
5,2026-02-05T15:05:51,2026-02-05T15:06:54,63,"(16, 8)",0.003,0.015,0.15,0.7899113849113849
6,2026-02-05T15:06:54,2026-02-05T15:07:56,61,"(16, 8)",0.01,0.01,0.15,0.7962890321336842
7,2026-02-05T15:07:56,2026-02-05T15:08:52,56,"(32, 16)",0.003,0.01,0.1,0.7376663490078125
8,2026-02-05T15:08:52,2026-02-05T15:10:24,91,"(32, 4)",0.01,0.01,0.15,0.8168701668701669
9,2026-02-05T15:10:24,2026-02-05T15:12:02,98,"(16, 4)",0.0001,0.015,0.1,0.771058201058201
10,2026-02-05T15:12:02,2026-02-05T15:12:57,54,"(16, 16)",0.03,0.015,0.1,0.7512718762718763
11,2026-02-05T15:12:57,2026-02-05T15:14:30,92,"(32, 4)",0.01,0.01,0.15,0.8168701668701669
12,2026-02-05T15:14:30,2026-02-05T15:16:01,90,"(32, 4)",0.03,0.015,0.15,0.7895596995596995
13,2026-02-05T15:16:01,2026-02-05T15:17:08,67,"(32, 8)",0.01,0.01,0.15,0.7812413512413512
14,2026-02-05T15:17:08,2026-02-05T15:18:21,72,"(8, 4)",0.01,0.2,0.1,0.7971813002874696
