trial_id,started_at,finished_at,duration,batch_size,head_learning_rate,l2_weight,warmup_proportion,f1
0,2026-02-05T17:39:15,2026-02-05T17:43:14,239,"(8, 8)",0.0001,0.015,0.1,0.6509962319639738
1,2026-02-05T17:43:14,2026-02-05T17:47:27,253,"(16, 8)",0.0001,0.2,0.15,0.29983070183392224
2,2026-02-05T17:47:27,2026-02-05T17:52:08,281,"(16, 4)",0.0001,0.01,0.15,0.23779821627647713
3,2026-02-05T17:52:08,2026-02-05T17:58:20,371,"(16, 4)",0.03,0.015,0.1,0.6088765081584417
4,2026-02-05T17:58:20,2026-02-05T18:04:01,341,"(8, 4)",0.0001,0.2,0.1,0.6646806661607421
5,2026-02-05T18:04:01,2026-02-05T18:10:19,377,"(16, 4)",0.03,0.01,0.1,0.5028374260570663
6,2026-02-05T18:10:19,2026-02-05T18:16:19,359,"(16, 4)",0.03,0.2,0.1,0.389047023064545
7,2026-02-05T18:16:19,2026-02-05T18:18:19,120,"(16, 8)",0.01,0.2,0.15,0.02631578947368421
8,2026-02-05T18:18:19,2026-02-05T18:21:55,215,"(8, 4)",0.003,0.01,0.1,0.11981548856548856
9,2026-02-05T18:21:55,2026-02-05T18:24:18,143,"(8, 8)",0.03,0.2,0.15,0.34011193825235575
10,2026-02-05T18:24:18,2026-02-05T18:27:38,200,"(8, 4)",0.003,0.2,0.1,0.2889880952380952
11,2026-02-05T18:27:38,2026-02-05T18:30:50,192,"(8, 8)",0.0001,0.015,0.1,0.6509962319639738
12,2026-02-05T18:30:50,2026-02-05T18:35:54,303,"(8, 4)",0.0001,0.015,0.1,0.6076524578976051
13,2026-02-05T18:35:54,2026-02-05T18:39:06,192,"(8, 8)",0.0001,0.015,0.1,0.6509962319639738
14,2026-02-05T18:39:06,2026-02-05T18:42:18,191,"(8, 8)",0.01,0.015,0.1,0.49310239588288446
