trial_id,started_at,finished_at,duration,batch_size,head_learning_rate,l2_weight,warmup_proportion,f1
0,2026-02-05T08:53:01,2026-02-05T08:54:25,84,"(8, 8)",0.003,0.01,0.15,0.7833003721424774
1,2026-02-05T08:54:25,2026-02-05T08:55:36,71,"(32, 8)",0.0001,0.2,0.1,0.6743697478991596
2,2026-02-05T08:55:36,2026-02-05T08:56:47,70,"(32, 8)",0.03,0.015,0.1,0.7868983957219251
3,2026-02-05T08:56:47,2026-02-05T08:58:02,75,"(8, 8)",0.003,0.2,0.1,0.7063732057416268
4,2026-02-05T08:58:02,2026-02-05T08:59:01,58,"(32, 16)",0.03,0.015,0.1,0.7592360580595876
5,2026-02-05T08:59:01,2026-02-05T09:00:18,76,"(16, 8)",0.003,0.015,0.15,0.7368522588522588
6,2026-02-05T09:00:18,2026-02-05T09:01:42,84,"(16, 8)",0.01,0.01,0.15,0.7387512095747389
7,2026-02-05T09:01:42,2026-02-05T09:02:40,58,"(32, 16)",0.003,0.01,0.1,0.680263630089717
8,2026-02-05T09:02:40,2026-02-05T09:04:30,109,"(32, 4)",0.01,0.01,0.15,0.7945953654188948
9,2026-02-05T09:04:30,2026-02-05T09:06:07,97,"(16, 4)",0.0001,0.015,0.1,0.6735016835016834
10,2026-02-05T09:06:07,2026-02-05T09:07:57,109,"(32, 4)",0.01,0.01,0.15,0.7945953654188948
11,2026-02-05T09:07:57,2026-02-05T09:09:46,108,"(32, 4)",0.01,0.01,0.15,0.7945953654188948
12,2026-02-05T09:09:46,2026-02-05T09:11:32,106,"(32, 4)",0.01,0.01,0.15,0.7945953654188948
13,2026-02-05T09:11:32,2026-02-05T09:13:17,104,"(32, 4)",0.01,0.01,0.15,0.7945953654188948
14,2026-02-05T09:13:17,2026-02-05T09:14:12,55,"(16, 16)",0.01,0.01,0.15,0.6700239368474661
