trial_id,started_at,finished_at,duration,batch_size,head_learning_rate,l2_weight,warmup_proportion,f1
0,2026-02-11T17:47:04,2026-02-11T17:47:59,54,"(8, 8)",0.003,0.01,0.15,0.6590996168582375
1,2026-02-11T17:47:59,2026-02-11T17:48:56,57,"(32, 8)",0.0001,0.2,0.1,0.5488888888888889
2,2026-02-11T17:48:56,2026-02-11T17:49:52,55,"(32, 8)",0.03,0.015,0.1,0.7198863636363636
3,2026-02-11T17:49:52,2026-02-11T17:50:46,54,"(8, 8)",0.003,0.2,0.1,0.7202380952380952
4,2026-02-11T17:50:46,2026-02-11T17:51:33,47,"(32, 16)",0.03,0.015,0.1,0.7517044154655685
5,2026-02-11T17:51:33,2026-02-11T17:52:27,53,"(16, 8)",0.003,0.015,0.15,0.782227632379793
6,2026-02-11T17:52:27,2026-02-11T17:53:21,54,"(16, 8)",0.01,0.01,0.15,0.7516071428571429
7,2026-02-11T17:53:21,2026-02-11T17:54:13,52,"(32, 16)",0.003,0.01,0.1,0.5348806713873591
8,2026-02-11T17:54:13,2026-02-11T17:55:18,64,"(32, 4)",0.01,0.01,0.15,0.7058510638297872
9,2026-02-11T17:55:18,2026-02-11T17:56:25,66,"(16, 4)",0.0001,0.015,0.1,0.7035460992907802
10,2026-02-11T17:56:25,2026-02-11T17:57:20,55,"(16, 8)",0.003,0.015,0.15,0.782227632379793
11,2026-02-11T17:57:20,2026-02-11T17:58:15,54,"(16, 8)",0.003,0.015,0.15,0.782227632379793
12,2026-02-11T17:58:15,2026-02-11T17:59:10,55,"(16, 8)",0.003,0.015,0.15,0.782227632379793
13,2026-02-11T17:59:10,2026-02-11T17:59:59,48,"(8, 16)",0.003,0.015,0.15,0.6318181818181818
14,2026-02-11T17:59:59,2026-02-11T18:00:52,53,"(16, 16)",0.003,0.015,0.15,0.5674329501915709
