trial_id,started_at,finished_at,duration,batch_size,head_learning_rate,l2_weight,warmup_proportion,f1
0,2025-12-02T01:21:01,2025-12-02T01:22:53,112,"(8, 8)",0.003,0.01,0.15,0.5085081585081584
1,2025-12-02T01:22:53,2025-12-02T01:25:15,141,"(32, 8)",0.0001,0.2,0.1,0.4425925925925926
2,2025-12-02T01:25:15,2025-12-02T01:27:15,120,"(32, 8)",0.03,0.015,0.1,0.5878066378066379
3,2025-12-02T01:27:15,2025-12-02T01:29:03,107,"(8, 8)",0.003,0.2,0.1,0.4886632280249301
4,2025-12-02T01:29:03,2025-12-02T01:30:41,98,"(32, 16)",0.03,0.015,0.1,0.5542207792207793
5,2025-12-02T01:30:41,2025-12-02T01:32:35,113,"(16, 8)",0.003,0.015,0.15,0.5981906981906983
6,2025-12-02T01:32:35,2025-12-02T01:34:50,134,"(16, 8)",0.01,0.01,0.15,0.5992753623188406
7,2025-12-02T01:34:50,2025-12-02T01:36:30,100,"(32, 16)",0.003,0.01,0.1,0.6170416884702599
8,2025-12-02T01:36:30,2025-12-02T01:39:44,194,"(32, 4)",0.01,0.01,0.15,0.541005291005291
9,2025-12-02T01:39:44,2025-12-02T01:43:29,224,"(16, 4)",0.0001,0.015,0.1,0.6775950999355255
10,2025-12-02T01:43:29,2025-12-02T01:47:16,227,"(16, 4)",0.0001,0.015,0.1,0.6775950999355255
11,2025-12-02T01:47:16,2025-12-02T01:51:03,226,"(16, 4)",0.0001,0.015,0.1,0.6775950999355255
12,2025-12-02T01:51:03,2025-12-02T01:54:44,221,"(16, 4)",0.0001,0.015,0.1,0.6775950999355255
13,2025-12-02T01:54:44,2025-12-02T01:58:23,218,"(16, 4)",0.0001,0.015,0.1,0.6775950999355255
14,2025-12-02T01:58:23,2025-12-02T02:00:04,100,"(16, 16)",0.0001,0.015,0.1,0.5493177387914231
