trial_id,started_at,finished_at,duration,batch_size,head_learning_rate,l2_weight,warmup_proportion,f1
0,2025-12-02T02:04:00,2025-12-02T02:08:43,282,"(8, 8)",0.0001,0.015,0.1,0.3896762241589828
1,2025-12-02T02:08:43,2025-12-02T02:13:48,305,"(16, 8)",0.0001,0.2,0.15,0.16666666666666666
2,2025-12-02T02:13:48,2025-12-02T02:22:25,516,"(16, 4)",0.0001,0.01,0.15,0.45273163528977484
3,2025-12-02T02:22:25,2025-12-02T02:27:05,279,"(16, 4)",0.03,0.015,0.1,0.06329113924050633
4,2025-12-02T02:27:05,2025-12-02T02:31:04,239,"(8, 4)",0.0001,0.2,0.1,0.0
5,2025-12-02T02:31:04,2025-12-02T02:38:37,452,"(16, 4)",0.03,0.01,0.1,0.3449287261131339
6,2025-12-02T02:38:37,2025-12-02T02:44:34,357,"(16, 4)",0.03,0.2,0.1,0.10294117647058824
7,2025-12-02T02:44:34,2025-12-02T02:49:14,279,"(16, 8)",0.01,0.2,0.15,0.2932461873638344
8,2025-12-02T02:49:14,2025-12-02T02:56:33,439,"(8, 4)",0.003,0.01,0.1,0.23577563070316696
9,2025-12-02T02:56:33,2025-12-02T03:00:46,253,"(8, 8)",0.03,0.2,0.15,0.1935844513243894
10,2025-12-02T03:00:46,2025-12-02T03:07:50,424,"(16, 4)",0.003,0.01,0.15,0.24201374538886591
11,2025-12-02T03:07:50,2025-12-02T03:11:15,204,"(8, 8)",0.0001,0.015,0.15,0.0
12,2025-12-02T03:11:15,2025-12-02T03:16:41,326,"(8, 8)",0.0001,0.015,0.1,0.3896762241589828
13,2025-12-02T03:16:41,2025-12-02T03:20:05,203,"(8, 8)",0.0001,0.015,0.15,0.0
14,2025-12-02T03:20:05,2025-12-02T03:27:22,436,"(16, 4)",0.01,0.01,0.1,0.3182064373218796
