trial_id,started_at,finished_at,duration,batch_size,head_learning_rate,l2_weight,warmup_proportion,f1
0,2025-12-01T20:21:16,2025-12-01T20:23:16,119,"(8, 8)",0.003,0.01,0.15,0.6478615520282186
1,2025-12-01T20:23:16,2025-12-01T20:25:22,126,"(32, 8)",0.0001,0.2,0.1,0.5399711399711399
2,2025-12-01T20:25:22,2025-12-01T20:27:07,104,"(32, 8)",0.03,0.015,0.1,0.6720679012345679
3,2025-12-01T20:27:07,2025-12-01T20:29:07,120,"(8, 8)",0.003,0.2,0.1,0.6704621095750127
4,2025-12-01T20:29:07,2025-12-01T20:30:41,93,"(32, 16)",0.03,0.015,0.1,0.6660493827160493
5,2025-12-01T20:30:41,2025-12-01T20:32:36,114,"(16, 8)",0.003,0.015,0.15,0.6665123456790124
6,2025-12-01T20:32:36,2025-12-01T20:34:20,104,"(16, 8)",0.01,0.01,0.15,0.6277777777777778
7,2025-12-01T20:34:20,2025-12-01T20:36:06,106,"(32, 16)",0.003,0.01,0.1,0.6007936507936508
8,2025-12-01T20:36:06,2025-12-01T20:38:12,125,"(32, 4)",0.01,0.01,0.15,0.6107505070993916
9,2025-12-01T20:38:12,2025-12-01T20:40:48,155,"(16, 4)",0.0001,0.015,0.1,0.6968253968253969
10,2025-12-01T20:40:48,2025-12-01T20:43:27,158,"(16, 4)",0.0001,0.015,0.1,0.6968253968253969
11,2025-12-01T20:43:27,2025-12-01T20:46:05,158,"(16, 4)",0.0001,0.015,0.1,0.6968253968253969
12,2025-12-01T20:46:05,2025-12-01T20:48:39,154,"(16, 4)",0.0001,0.015,0.1,0.6968253968253969
13,2025-12-01T20:48:39,2025-12-01T20:51:19,159,"(16, 4)",0.0001,0.015,0.1,0.6968253968253969
14,2025-12-01T20:51:19,2025-12-01T20:53:02,102,"(16, 16)",0.0001,0.015,0.1,0.6026984126984126
