trial_id,started_at,finished_at,duration,batch_size,head_learning_rate,l2_weight,warmup_proportion,f1
0,2026-02-05T15:45:29,2026-02-05T15:49:26,237,"(8, 8)",0.0001,0.015,0.1,0.6086202227159714
1,2026-02-05T15:49:26,2026-02-05T15:52:06,159,"(16, 8)",0.0001,0.2,0.15,0.12571428571428572
2,2026-02-05T15:52:06,2026-02-05T15:57:47,341,"(16, 4)",0.0001,0.01,0.15,0.4476244343891402
3,2026-02-05T15:57:47,2026-02-05T16:03:22,334,"(16, 4)",0.03,0.015,0.1,0.5335803554072079
4,2026-02-05T16:03:22,2026-02-05T16:09:19,357,"(8, 4)",0.0001,0.2,0.1,0.22055278055278055
5,2026-02-05T16:09:19,2026-02-05T16:16:02,402,"(16, 4)",0.03,0.01,0.1,0.49220696805854136
6,2026-02-05T16:16:02,2026-02-05T16:20:06,243,"(16, 4)",0.03,0.2,0.1,0.15457875457875456
7,2026-02-05T16:20:06,2026-02-05T16:23:00,174,"(16, 8)",0.01,0.2,0.15,0.16644927536231885
8,2026-02-05T16:23:00,2026-02-05T16:29:17,376,"(8, 4)",0.003,0.01,0.1,0.42028990883280304
9,2026-02-05T16:29:17,2026-02-05T16:31:47,149,"(8, 8)",0.03,0.2,0.15,0.028846153846153844
10,2026-02-05T16:31:47,2026-02-05T16:35:43,236,"(8, 8)",0.003,0.015,0.1,0.2806926406926407
11,2026-02-05T16:35:43,2026-02-05T16:38:40,176,"(8, 8)",0.01,0.015,0.1,0.25972686733556294
12,2026-02-05T16:38:40,2026-02-05T16:41:50,189,"(8, 8)",0.03,0.015,0.1,0.4780803254716298
13,2026-02-05T16:41:50,2026-02-05T16:44:40,170,"(16, 4)",0.0001,0.015,0.1,0.0
14,2026-02-05T16:44:40,2026-02-05T16:50:07,326,"(16, 4)",0.03,0.015,0.1,0.5335803554072079
