trial_id,started_at,finished_at,duration,batch_size,head_learning_rate,l2_weight,warmup_proportion,f1
0,2026-02-05T13:44:04,2026-02-05T13:47:14,190,"(8, 8)",0.0001,0.015,0.1,0.6100861180129472
1,2026-02-05T13:47:14,2026-02-05T13:51:28,253,"(16, 8)",0.0001,0.2,0.15,0.4456160314125149
2,2026-02-05T13:51:28,2026-02-05T13:56:01,273,"(16, 4)",0.0001,0.01,0.15,0.5286666666666666
3,2026-02-05T13:56:01,2026-02-05T14:01:41,339,"(16, 4)",0.03,0.015,0.1,0.6026311369789632
4,2026-02-05T14:01:41,2026-02-05T14:08:04,383,"(8, 4)",0.0001,0.2,0.1,0.5342277913109094
5,2026-02-05T14:08:04,2026-02-05T14:14:09,364,"(16, 4)",0.03,0.01,0.1,0.5383644837716046
6,2026-02-05T14:14:09,2026-02-05T14:20:44,395,"(16, 4)",0.03,0.2,0.1,0.5994661844553411
7,2026-02-05T14:20:44,2026-02-05T14:24:48,244,"(16, 8)",0.01,0.2,0.15,0.45206458088205304
8,2026-02-05T14:24:48,2026-02-05T14:31:16,388,"(8, 4)",0.003,0.01,0.1,0.5684579172658284
9,2026-02-05T14:31:16,2026-02-05T14:35:28,251,"(8, 8)",0.03,0.2,0.15,0.5351661944195736
10,2026-02-05T14:35:28,2026-02-05T14:39:29,240,"(8, 8)",0.003,0.015,0.1,0.5531935865768006
11,2026-02-05T14:39:29,2026-02-05T14:43:43,254,"(8, 8)",0.01,0.015,0.1,0.6395576020223908
12,2026-02-05T14:43:43,2026-02-05T14:47:49,245,"(8, 8)",0.01,0.015,0.1,0.6395576020223908
13,2026-02-05T14:47:49,2026-02-05T14:52:01,251,"(8, 8)",0.01,0.015,0.1,0.6395576020223908
14,2026-02-05T14:52:01,2026-02-05T14:56:06,244,"(8, 8)",0.01,0.015,0.1,0.6395576020223908
