trial_id,started_at,finished_at,duration,batch_size,head_learning_rate,l2_weight,warmup_proportion,f1
0,2026-02-05T17:12:25,2026-02-05T17:13:56,91,"(8, 8)",0.003,0.01,0.15,0.7332573403825775
1,2026-02-05T17:13:56,2026-02-05T17:15:39,103,"(32, 8)",0.0001,0.2,0.1,0.5542916659630656
2,2026-02-05T17:15:39,2026-02-05T17:17:07,87,"(32, 8)",0.03,0.015,0.1,0.836339606635472
3,2026-02-05T17:17:07,2026-02-05T17:18:51,103,"(8, 8)",0.003,0.2,0.1,0.7070020412312502
4,2026-02-05T17:18:51,2026-02-05T17:20:11,79,"(32, 16)",0.03,0.015,0.1,0.8218969149629292
5,2026-02-05T17:20:11,2026-02-05T17:22:02,110,"(16, 8)",0.003,0.015,0.15,0.44971747206437307
6,2026-02-05T17:22:02,2026-02-05T17:23:35,93,"(16, 8)",0.01,0.01,0.15,0.8235250464415094
7,2026-02-05T17:23:35,2026-02-05T17:25:04,89,"(32, 16)",0.003,0.01,0.1,0.7030891800255628
8,2026-02-05T17:25:04,2026-02-05T17:26:56,111,"(32, 4)",0.01,0.01,0.15,0.8236368046215243
9,2026-02-05T17:26:56,2026-02-05T17:29:05,129,"(16, 4)",0.0001,0.015,0.1,0.7204474388957147
10,2026-02-05T17:29:05,2026-02-05T17:30:20,74,"(16, 16)",0.03,0.015,0.1,0.7873691417570136
11,2026-02-05T17:30:20,2026-02-05T17:32:11,111,"(32, 4)",0.01,0.01,0.15,0.8236368046215243
12,2026-02-05T17:32:11,2026-02-05T17:33:54,102,"(32, 4)",0.03,0.015,0.15,0.8587774690349061
13,2026-02-05T17:33:54,2026-02-05T17:35:22,88,"(32, 8)",0.03,0.015,0.15,0.8165290230924906
14,2026-02-05T17:35:22,2026-02-05T17:37:18,116,"(8, 4)",0.03,0.015,0.1,0.7911288275456949
