trial_id,started_at,finished_at,duration,batch_size,head_learning_rate,l2_weight,warmup_proportion,f1
0,2026-02-05T15:19:39,2026-02-05T15:21:11,91,"(8, 8)",0.003,0.01,0.15,0.739764059469942
1,2026-02-05T15:21:11,2026-02-05T15:22:59,108,"(32, 8)",0.0001,0.2,0.1,0.6492918192918193
2,2026-02-05T15:22:59,2026-02-05T15:24:34,94,"(32, 8)",0.03,0.015,0.1,0.7732666732666732
3,2026-02-05T15:24:34,2026-02-05T15:26:20,106,"(8, 8)",0.003,0.2,0.1,0.20895515716167892
4,2026-02-05T15:26:20,2026-02-05T15:27:46,86,"(32, 16)",0.03,0.015,0.1,0.7458863604634929
5,2026-02-05T15:27:46,2026-02-05T15:29:22,95,"(16, 8)",0.003,0.015,0.15,0.7258017908017909
6,2026-02-05T15:29:22,2026-02-05T15:30:47,85,"(16, 8)",0.01,0.01,0.15,0.7873496873496874
7,2026-02-05T15:30:47,2026-02-05T15:32:18,90,"(32, 16)",0.003,0.01,0.1,0.669350849270204
8,2026-02-05T15:32:18,2026-02-05T15:34:17,119,"(32, 4)",0.01,0.01,0.15,0.7538713716209179
9,2026-02-05T15:34:17,2026-02-05T15:36:43,145,"(16, 4)",0.0001,0.015,0.1,0.6614277293587639
10,2026-02-05T15:36:43,2026-02-05T15:38:15,91,"(16, 8)",0.01,0.01,0.15,0.7873496873496874
11,2026-02-05T15:38:15,2026-02-05T15:39:41,85,"(16, 8)",0.01,0.01,0.15,0.7873496873496874
12,2026-02-05T15:39:41,2026-02-05T15:41:14,93,"(16, 8)",0.01,0.01,0.15,0.7873496873496874
13,2026-02-05T15:41:14,2026-02-05T15:42:37,83,"(8, 16)",0.01,0.01,0.15,0.7495361484774131
14,2026-02-05T15:42:37,2026-02-05T15:43:54,77,"(16, 16)",0.01,0.01,0.15,0.737457757296467
