trial_id,started_at,finished_at,duration,batch_size,head_learning_rate,l2_weight,warmup_proportion,f1
0,2026-02-05T13:14:28,2026-02-05T13:15:57,89,"(8, 8)",0.003,0.01,0.15,0.7361017740429505
1,2026-02-05T13:15:57,2026-02-05T13:17:33,95,"(32, 8)",0.0001,0.2,0.1,0.5497497966550268
2,2026-02-05T13:17:33,2026-02-05T13:18:58,85,"(32, 8)",0.03,0.015,0.1,0.7573809523809525
3,2026-02-05T13:18:58,2026-02-05T13:20:34,95,"(8, 8)",0.003,0.2,0.1,0.7426936927864812
4,2026-02-05T13:20:34,2026-02-05T13:21:49,75,"(32, 16)",0.03,0.015,0.1,0.7422622560729978
5,2026-02-05T13:21:49,2026-02-05T13:23:41,111,"(16, 8)",0.003,0.015,0.15,0.3660635984927819
6,2026-02-05T13:23:41,2026-02-05T13:25:05,84,"(16, 8)",0.01,0.01,0.15,0.7286462182803646
7,2026-02-05T13:25:05,2026-02-05T13:26:30,84,"(32, 16)",0.003,0.01,0.1,0.6836810590613908
8,2026-02-05T13:26:30,2026-02-05T13:28:20,110,"(32, 4)",0.01,0.01,0.15,0.7345397077968292
9,2026-02-05T13:28:20,2026-02-05T13:30:19,119,"(16, 4)",0.0001,0.015,0.1,0.5802060869398548
10,2026-02-05T13:30:19,2026-02-05T13:31:37,77,"(16, 16)",0.03,0.015,0.1,0.7556098579782791
11,2026-02-05T13:31:37,2026-02-05T13:32:55,78,"(16, 16)",0.03,0.015,0.1,0.7556098579782791
12,2026-02-05T13:32:55,2026-02-05T13:34:13,78,"(16, 16)",0.03,0.015,0.1,0.7556098579782791
13,2026-02-05T13:34:13,2026-02-05T13:35:49,96,"(32, 8)",0.03,0.015,0.1,0.7573809523809525
14,2026-02-05T13:35:49,2026-02-05T13:41:26,337,"(32, 8)",0.03,0.015,0.1,0.7573809523809525
