trial_id,started_at,finished_at,duration,batch_size,head_learning_rate,l2_weight,warmup_proportion,f1
0,2026-02-05T10:58:39,2026-02-05T10:59:41,62,"(8, 8)",0.003,0.01,0.15,0.6713077803752122
1,2026-02-05T10:59:41,2026-02-05T11:01:04,82,"(32, 8)",0.0001,0.2,0.1,0.6172528451940217
2,2026-02-05T11:01:04,2026-02-05T11:02:03,59,"(32, 8)",0.03,0.015,0.1,0.6686026479241582
3,2026-02-05T11:02:03,2026-02-05T11:03:06,62,"(8, 8)",0.003,0.2,0.1,0.5985723267460614
4,2026-02-05T11:03:06,2026-02-05T11:04:04,58,"(32, 16)",0.03,0.015,0.1,0.6881921458625526
5,2026-02-05T11:04:04,2026-02-05T11:05:10,65,"(16, 8)",0.003,0.015,0.15,0.663780859951599
6,2026-02-05T11:05:10,2026-02-05T11:06:14,64,"(16, 8)",0.01,0.01,0.15,0.6919571278394808
7,2026-02-05T11:06:14,2026-02-05T11:07:10,55,"(32, 16)",0.003,0.01,0.1,0.5717074217074217
8,2026-02-05T11:07:10,2026-02-05T11:08:24,74,"(32, 4)",0.01,0.01,0.15,0.6906192393362779
9,2026-02-05T11:08:24,2026-02-05T11:09:40,75,"(16, 4)",0.0001,0.015,0.1,0.6670336633194919
10,2026-02-05T11:09:40,2026-02-05T11:10:39,58,"(16, 8)",0.01,0.01,0.15,0.6919571278394808
11,2026-02-05T11:10:39,2026-02-05T11:11:37,58,"(16, 8)",0.01,0.01,0.15,0.6919571278394808
12,2026-02-05T11:11:37,2026-02-05T11:12:36,58,"(16, 8)",0.01,0.01,0.15,0.6919571278394808
13,2026-02-05T11:12:36,2026-02-05T11:13:31,54,"(8, 16)",0.01,0.01,0.15,0.6820923520923522
14,2026-02-05T11:13:31,2026-02-05T11:14:22,51,"(16, 16)",0.01,0.01,0.15,0.646270600744285
