trial_id,started_at,finished_at,duration,batch_size,head_learning_rate,l2_weight,warmup_proportion,f1
0,2025-12-02T06:18:14,2025-12-02T06:20:08,113,"(8, 8)",0.003,0.01,0.15,0.6862433862433862
1,2025-12-02T06:20:08,2025-12-02T06:22:18,129,"(32, 8)",0.0001,0.2,0.1,0.6537037037037037
2,2025-12-02T06:22:18,2025-12-02T06:24:11,113,"(32, 8)",0.03,0.015,0.1,0.7005847953216374
3,2025-12-02T06:24:11,2025-12-02T06:26:25,133,"(8, 8)",0.003,0.2,0.1,0.7227157030803594
4,2025-12-02T06:26:25,2025-12-02T06:27:59,93,"(32, 16)",0.03,0.015,0.1,0.6379310344827586
5,2025-12-02T06:27:59,2025-12-02T06:29:56,117,"(16, 8)",0.003,0.015,0.15,0.7311890838206626
6,2025-12-02T06:29:56,2025-12-02T06:31:46,110,"(16, 8)",0.01,0.01,0.15,0.7245370370370369
7,2025-12-02T06:31:46,2025-12-02T06:33:26,99,"(32, 16)",0.003,0.01,0.1,0.6107744107744107
8,2025-12-02T06:33:26,2025-12-02T06:35:41,135,"(32, 4)",0.01,0.01,0.15,0.7013888888888888
9,2025-12-02T06:35:41,2025-12-02T06:38:13,151,"(16, 4)",0.0001,0.015,0.1,0.7256283068783068
10,2025-12-02T06:38:13,2025-12-02T06:40:04,111,"(16, 8)",0.003,0.015,0.15,0.7311890838206626
11,2025-12-02T06:40:04,2025-12-02T06:42:01,117,"(16, 8)",0.003,0.015,0.15,0.7311890838206626
12,2025-12-02T06:42:01,2025-12-02T06:43:58,117,"(16, 8)",0.003,0.015,0.15,0.7311890838206626
13,2025-12-02T06:43:58,2025-12-02T06:45:43,104,"(8, 16)",0.003,0.015,0.15,0.6637500878487596
14,2025-12-02T06:45:43,2025-12-02T06:47:15,92,"(16, 16)",0.003,0.015,0.15,0.7105820105820104
